"","sample_id","kv","date.m","fire.type","fire_intencity","edificator","forest.age","shrub","herbs.covering","dominating.herbs","litter","dry.woods","hydrothermic"
"1","sample_id 1","114","V-VII","mix(control.and.fire)","2","Betula","1","weak","3+","multiherbaceous","1","middle","bog"
"2","sample_id 2","275","V-VII","up.fire","3","Betula","2","absent","3+","Epilobium","1","expressed","upland"
"3","sample_id 3","278","V-VII","up.fire","3","Betula","1","absent","3+","Epilobium&Rubus","1","expressed","upland"
"4","sample_id 4","302","V-VII","up.fire","3","Betula","2","absent","3+","Epilobium","1","expressed","upland"
"5","sample_id 5","319","V-VII","mix(control.and.fire)","2","Betula","1","weak","3+","multiherbaceous","1","middle","bog"
"6","sample_id 6","329","V-VII","up.fire","4","Betula","1","absent","3+","Epilobium","1","expressed","upland"
"7","sample_id 7","331","V-VII","up.fire","4","Betula","1","absent","3+","Epilobium","1","expressed","upland"
"8","sample_id 8","357&382","IV-VI","control","0","Pinus","3","weak","3+","multiherbaceous","3","weak","upland"
"9","sample_id 9","357&382","IV-VI","up.fire","4","Nothing","0","absent","1","nothing","1","expressed","upland"
"10","sample_id 10","358","IV-VI","control","0","Pinus","4","absent","3+","Poacea","4","weak","upland"
"11","sample_id 11","358","IV-VII","control.near.fire(0or4)","0","Pinus","4","absent","1","nothing","3","weak","upland"
"12","sample_id 12","358","V-VII","up.fire","4","Nothing","0","absent","1","nothing","1","expressed","upland"
"13","sample_id 13","358","IV-VI","down.fire","2","Pinus","3","weak","3+","multiherbaceous","1","middle","upland"
"14","sample_id 14","361","V-VII","control","0","Pinus","4","weak","3+","multiherbaceous","3","weak","upland"
"15","sample_id 15","361","V-VII","down.fire","2","Betula","2","weak","3+","multiherbaceous","1","middle","upland"
"16","sample_id 16","362&386","V-VI","control","0","Pinus","4","weak","3+","Poacea","3","weak","upland"
"17","sample_id 17","362&386","V-VII","down.fire","2","Pinus","3","weak","3+","Epilobium","1","middle","upland"
"18","sample_id 18","383","IV-VI","up.fire","3","Betula","2","absent","3+","Epilobium","1","expressed","bog"
"19","sample_id 19","383","IV-VI","control","0","Pinus","4","weak","3+","Poacea","3","weak","bog"
"20","sample_id 20","383","V-VII","control","0","Pinus","4","expressed","3+","Poacea&Convallaria","4","weak","bog"
"21","sample_id 21","404&405","V-VII","control","0","Pinus","3","weak","3+","multiherbaceous","3","weak","upland"
"22","sample_id 22","404&405","V-VII","down.fire","2","Betula","1","weak","3+","Epilobium&Rubus","1","middle","upland"
"23","sample_id 23","405&380","V-VII","down.fire","1","Betula","2","weak","3+","Poacea","2","middle","upland"
"24","sample_id 24","409","IV-VI","control","0","Pinus","4","weak","3+","Poacea","3","weak","upland"
"25","sample_id 25","409","IV-VI","down.fire","2","Betula","1","absent","3+","Epilobium","1","middle","upland"
"26","sample_id 26","430&431","V-VII","down.fire","1","Betula","2","weak","3+","multiherbaceous","1","middle","bog"
"27","sample_id 27","430&431","V-VII","control","0","Pinus","4","expressed","3+","multiherbaceous","4","weak","bog"
